content,meta,ort,region,years,split_nr
En stark läskultur och inbjudande läsmiljö i förskola och skola stärker barns och ungas språk och kunskapsutveckling samt inspirerar till ökad fritidsläsning.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 10}",skolbiblioteksplan,Stockholm,2020–2023,10
Stadens bibliotek samverkar lokalt för att främja barns och ungas läsning.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 11}",skolbiblioteksplan,Stockholm,2020–2023,11
"Biblioteken tillhandahåller ett brett utbud av medier och verksamhet som bidrar till bildning, vidgar perspektiven och stärker värdegrundsarbete kopplat till styrdokumenten.","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 12}",skolbiblioteksplan,Stockholm,2020–2023,12
Barn och unga upplever biblioteken som trygga och har inflytande över bibliotekens innehåll.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 13}",skolbiblioteksplan,Stockholm,2020–2023,13
"Kultur för, med och av barn och unga ges utrymme.","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 14}",skolbiblioteksplan,Stockholm,2020–2023,14
 Biblioteken medverkar till alla barns och ungas lika tillgång till litteratur och medier.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",skolbiblioteksplan,Stockholm,2020–2023,0
"Medier erbjuds på många språk och i format som möjliggör läsning via öron, ögon och fingrar.","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",skolbiblioteksplan,Stockholm,2020–2023,1
Bibliotekens verksamhet stärker språkutveckling i svenska och ägnar särskild uppmärksamhet åt flerspråkighet och de nationella minoritetsspråken.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",skolbiblioteksplan,Stockholm,2020–2023,2
Barn och unga i behov av anpassad läsning och stöttning är en prioriterad grupp.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",skolbiblioteksplan,Stockholm,2020–2023,3
Den välfungerande skolbiblioteksverksamheten bygger på samverkan och på integration i undervisningen.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 4}",skolbiblioteksplan,Stockholm,2020–2023,4
Skolor i Stockholms stad ger alla elever tillgång till skolbibliotek med ett uttalat pedagogiskt uppdrag när det gäller läs och språkutveckling samt medie och informationskunnighet.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 5}",skolbiblioteksplan,Stockholm,2020–2023,5
Skolbibliotek stärker eleverna i deras användning av digitala verktyg och medier samt bidrar till deras förståelse av digitaliseringens påverkan på samhället.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 6}",skolbiblioteksplan,Stockholm,2020–2023,6
Verksamheten medverkar till att utveckla elevernas vetenskapliga förhållningssätt och förbereda dem inför fortsatta studier och fortsatt lärande.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 7}",skolbiblioteksplan,Stockholm,2020–2023,7
"Förskola Stadsdelsförvaltningen ansvarar för att   samverka med Stockholms stadsbibliotek och årligen följa upp, utvärdera och fortsätta utveckla samarbetet kring barnens möten med litteratur och berättande    skapa förutsättningar för förskolorna att stärka de nationella minoritetsspråken och stödja flerspråkighet hos barn med annat modersmål än svenska  Rektor ansvarar för att   skapa förutsättningar för förskolorna att arbeta aktivt och inkluderande med barnens alla språk och erfarenheter via berättande och litteratur i olika former    alla förskolor har särskilt ansvariga pedagoger som samarbetar med stadsbiblioteket och tillsammans med kollegorna driver arbete kring läsning, litteratur och berättande","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 8}",skolbiblioteksplan,Stockholm,2020–2023,8
"   säkerställa att förskolornas pedagoger arbetar språkutvecklande och att de barn som är i behov av särskilt stöd eller anpassningar får det    skapa förutsättningar för kreativa och inspirerande läsmiljöer i förskolorna där högläsning, berättande, reflektion och samtal tar plats    verka för att barnen ges möjlighet att utveckla adekvat digital kompetens och får en första grund i att källkritiskt söka, välja och värdera information    barnen introduceras till folkbiblioteket    verka för att vårdnadshavare uppmuntras att läsa tillsammans med sina barn  Stockholms stadsbibliotek ansvarar för att   erbjuda förskolorna ett brett utbud av litteratur, i olika genrer och på många olika språk    erbjuda barnen i förskolan läsfrämjande aktiviteter    fungera som stöd i förskolornas läs och språkstimulerande arbete, exempelvis genom att erbjuda pedagoger inspiration    samverka övergripande med stadsdelsförvaltningarna, följa upp och utvärdera samarbetet  Skola Rektor säkerställer att   skolbibliotekets pedagogiska funktion är väl integrerad på skolan samt styrs och följs upp i dialog med skolbibliotekspersonal och i skolans systematiska kvalitetsarbete    skolbiblioteket har bemanning, öppettider, medieanslag och andra resurser som möjliggör att skolbibliotekspersonalen aktivt kan bidra till elevernas språk och kunskapsutveckling i samarbete med övrig pedagogisk personal","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",skolbiblioteksplan,Stockholm,2020–2023,0
"   skolbibliotekspersonalen har relevant kompetens för uppdraget och möjlighet till kompetensutveckling    personal på skolan och fritidshemmet använder skolbiblioteket i undervisningen och bidrar i planering och utformning av biblioteksverksamheten    skolbiblioteket stödjer elever i behov av anpassningar eller särskilt stöd    skolbiblioteket tillgodoser flerspråkiga elevers behov av och uppmuntrar till läsning på modersmålet samt på de nationella minoritetsspråken    skolbiblioteksmiljön är ändamålsenlig, tillgänglig, inkluderande, lugn och trygg samt har plats för samtal och studier  Bibliotekarier/skolbibliotekspersonal ansvarar för att   utveckla och följa upp verksamheten i dialog med rektor och samverka med elever och pedagogisk personal i enlighet med läroplan och lokalt uppställda mål    utforma bibliotekets utbud och verksamhet efter skolform samt skolans inriktning eller program    utveckla och dela med sig av sin kompetens inom läs och språkutveckling samt sina läsfrämjande metoder i syfte att väcka elevernas läsglädje    stödja elever i behov av anpassningar eller särskilt stöd och tillhandahålla exempelvis talböcker, punktskriftsböcker samt lättlästa medier    tillgodose och främja läsning på modersmålet och synliggöra elevernas flerspråkighet samt de nationella minoritetsspråken    utveckla och dela med sig av sin kompetens inom medieoch informationskunnighet, instruera och vägleda elever exempelvis i informationssökning, sök och källkritik samt källtillit","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",skolbiblioteksplan,Stockholm,2020–2023,0
   värna elevers integritet i skolbibliotekets verksamhet i enlighet med rådande lagstiftning  Gymnasiebibliotekarier ansvarar dessutom för att   utveckla och dela med sig av sin kompetens kring vetenskapligt material och referenshantering    tillgängliggöra vetenskapligt material samt medverka till att rusta eleverna inför fortsatta studier.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",skolbiblioteksplan,Stockholm,2020–2023,0
"samverka med elever och lärare kring planering och genomförande av gymnasiearbetet  Utbildningsförvaltningen ansvarar övergripande för att   inom grundskole och gymnasieledning följa upp skolbiblioteksverksamheten utifrån skolbiblioteksplanen och skolans övriga styrdokument i syfte att verka för likvärdighet när det gäller elevernas tillgång till välfungerande skolbibliotek    inom grundskole och gymnasieledning verka för att skolorna har bemannade skolbibliotek och att andelen skolor med fackutbildade bibliotekarier ökar under fyraårsperioden    komplettera skolbibliotekens utbud med klassuppsättningar av skönlitteratur via Cirkulationsbiblioteket samt litteratur på många olika språk, inklusive de nationella minoritetsspråken, via Mångspråksbiblioteket    ge alla skolor tillgång till ett gemensamt digitalt bibliotekssystem som är integrerat med relevanta pedagogiska plattformar samt arbeta för ökad tillgång till eböcker och emedia    erbjuda kompetensutveckling, introduktionsprogram för nyanställda, nätverk och andra insatser för skolbiblioteksutveckling","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",skolbiblioteksplan,Stockholm,2020–2023,1
"   samverka med kulturförvaltningen kring kompetensutveckling, upphandling, läsfrämjande arbete samt en stärkt gemensam infrastruktur kring digitala medier","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",skolbiblioteksplan,Stockholm,2020–2023,0
Biblioteket  där det händer Bibliotek ska öppna fönster ut mot världen.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
"Genom litteraturen ger de en utblick mot det som fnns där ute, men också genom tidskrifter, konstupplevelser, musik, föredrag och internet.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
"Biblioteken ska fungera som en öppen dörr till Solna, där den som fyttat hit kan lära känna sin nya hemstad eller sitt nya hemland.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
"Biblioteken ska vara platser för lärande och skapande, miljöer som lockar till ökat samhällsengagemang och fungerar som viktiga mötesplatser.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",Solna,Stockholm,2020–2023,3
"Peter Edholm (L), ordförande i kultur och fritidsnämnden Lars Rådén (M), 1:a vice ordförande i kultur och fritidsnämnden Tobias Östberg (MP), 2:a vice ordförande i kultur och fritidsnämnden","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 4}",Solna,Stockholm,2020–2023,4
Inledning I bibliotekslagen (SFS 2013:801) anges att kommuner och landsting ska anta en politiskt beslutad biblioteksplan.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Solna stads biblioteksplan omfattar stadens samlade biblioteksverksamhet och gäller för åren 20172023.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
Utformningen av planen bestäms till stor del av kommunerna själva och ska på ett konkret sätt ligga till grund för bibliotekens inriktning och utveckling de kommande sju åren.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Solna stads biblioteksplan antas i kultur och fritidsnämnden och framtagandet av planen har skett under ledning av nämndens arbetsutskott.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",Solna,Stockholm,2020–2023,3
"Arbetet har genomförts i samverkan med barn och utbildningsförvaltningen, socialförvaltningen, omvårdnadsförvaltningen och kompetensförvaltningen.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 4}",Solna,Stockholm,2020–2023,4
Medborgare har medverkat via fokusgrupper och enkät på stadens hemsida och medarbetarna på biblioteket har aktivt deltagit i framtagandet av planen.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 5}",Solna,Stockholm,2020–2023,5
Uppföljning I verksamhetsplan och årsredovisningar presenteras resultat av prioriterade aktiviteter och effekterna på kort och lång sikt.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 6}",Solna,Stockholm,2020–2023,6
Förvaltningen ska särskilt följa upp biblioteksplanen en gång per år för redovisning till kultur och fritidsnämnden och vid behov föreslå justeringar av planen.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 7}",Solna,Stockholm,2020–2023,7
Planen ska också ligga till grund för fortsatt dialog med medborgarna via till exempel fokusgrupper samt fortsatt dialog med berörda förvaltningar och samarbetspartners.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 8}",Solna,Stockholm,2020–2023,8
"Ett växande Solna och biblioteken Solna är en av Sveriges snabbast växande kommuner och sex nya stadsdelar utvecklas i snabb takt med bostäder, arbetsplatser och service.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Solnas invånarantal 2016 uppgick till cirka 77 000.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
År 2030 beräknas befolkningen uppgå till över 100 000 invånare.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Närmare en tredjedel av befolkningen 2016 är utrikes födda.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",Solna,Stockholm,2020–2023,3
I takt med att fler större bostäder byggs så väntas även gruppen barn och unga utgöra en ökande andel av befolkningen.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 4}",Solna,Stockholm,2020–2023,4
Genom ett brett programutbud ska biblioteken särskilt prioritera barns och ungas fritid och tillgång till biblioteksutbud.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 5}",Solna,Stockholm,2020–2023,5
"För närvarande finns fyra bibliotek i Solna: biblioteket i Solna centrum, Bergshamra bibliotek och det integrerade skol och folkbiblioteket i Ulriksdalsskolan samt det digitala biblioteket.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 6}",Solna,Stockholm,2020–2023,6
Befolkningsutvecklingen innebär en utmaning för biblioteken i Solna att nå ut med uppsökande verksamhet till alla delar av Solna.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 7}",Solna,Stockholm,2020–2023,7
Alla barn i Solna ska få möjlighet att ta del av vad biblioteket erbjuder oavsett var i kommunen de bor.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 8}",Solna,Stockholm,2020–2023,8
Biblioteket ska prioritera utveckling av läsfrämjande insatser för de yngsta barnen i förskolan.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 9}",Solna,Stockholm,2020–2023,9
Att nå ut till solnaborna med det digitala biblioteket är en fortsatt prioriterad del av verksamheten.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 10}",Solna,Stockholm,2020–2023,10
"Bibliotekets verksamheter, service och tjänster ska utvecklas för att möta dessa utmaningar.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 11}",Solna,Stockholm,2020–2023,11
Biblioteken ska bemannas med kompetenta medarbetare som ska ge god service och kvalité samt erbjuda generösa öppettider.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 12}",Solna,Stockholm,2020–2023,12
"Yttrandefrihet och tryckfrihet är demokratins viktigaste grundvalar, vilket biblioteken är en del av.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 13}",Solna,Stockholm,2020–2023,13
Biblioteken ska fortsätta att vara bärare av demokratin genom att erbjuda mångsidighet i både litteratur och programverksamhet.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 14}",Solna,Stockholm,2020–2023,14
"Det här ska biblioteken göra  Erbjuda ett attraktivt och varierat programutbud som når fler solnabor, stärker demokratin och stimulerar till engagemang.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Utveckla metoder och aktiviteter för att nå fler barn och ungdomar och inspirera till ökad läsning och språkutveckling med särskilt fokus på barnen i förskolan.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
Förstärka de digitala tjänsterna och samtidigt utveckla personalens kompetens och arbetssätt som matchar besökarnas behov av stöd och service.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Utveckla samarbete och partnerskap med andra förvaltningar och närliggande kommuners bibliotek.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",Solna,Stockholm,2020–2023,3
"Biblioteket som inkluderande mötesplats Solna stad ska erbjuda alla medborgare och besökare oavsett kön, könsidentitet, könsuttryck, sexuell läggning, etnisk tillhörighet, religion eller annan livsåskådning, funktionsvariation eller ålder att synliggöras och bli bemötta med respekt och professionalism.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Solna stadsbibliotek är sedan 2014 ett HBTcertifierat bibliotek och har sedan lång tid arbetat aktivt med likabehandlingsfrågor.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
"Dessa frågor kommer fortsätta att vara i fokus genom bland annat programverksamhet, medieutbud och internutbildning.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Närmare en tredjedel av Solnas invånare är födda i ett annat land och kommunen tar för närvarande emot många nya medborgare som behöver tillgång till bibliotekens tjänster och service.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",Solna,Stockholm,2020–2023,3
"Genom att erbjuda aktiviteter såsom läxhjälp, språkcafé, ”låna en solnabo” och andra språkutvecklande aktiviteter har biblioteken en särskild betydelse för människor som nyligen kommit till Sverige och kan därmed bidra till en positiv och snabbare integration.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 4}",Solna,Stockholm,2020–2023,4
De medborgare som inte själva kan ta sig till biblioteket ska ges adekvat stöd bland annat genom ”boken kommerservice” som är hemleverans av medier i olika format.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 5}",Solna,Stockholm,2020–2023,5
Biblioteket ska även utveckla ökad digital tillgänglighet till medier och service för målgruppen.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 6}",Solna,Stockholm,2020–2023,6
"Solna stadsbibliotek ska utveckla aktiviteter för att nå målgruppen personer med funktionsvariation, och med särskilt fokus på barn och unga.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 7}",Solna,Stockholm,2020–2023,7
Det här ska biblioteken göra  Alltid ha medborgarna i fokus och fortsätta att arbeta med bibliotekens likabehandling och inkludering.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Aktivt arbeta med att stödja nya svenskars integration genom aktiviteter.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
"Förstärka verksamheten för personer med funktionsvariationer, med annat modersmål än svenska samt personer som talar något av de nationella minoritetsspråken.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Förstärka verksamheten för barn och unga med funktionsnedsättning.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",Solna,Stockholm,2020–2023,3
"Folkbiblioteken och skolbiblioteken I Solna finns en gymnasieskola, åtta kommunala grundskolor och nio fristående grundskolor.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
"Alla elever vid Solnas grundskolor erbjuds att, vid tre tillfällen under skoltiden, delta i en riktad aktivitet på folkbiblioteket.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
Folkbiblioteket ansvarar i samverkan med rektorerna för biblioteksverksamheten vid Solna gymnasium och det integrerade skol och folkbiblioteket vid Ulriksdalsskolan.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Den centrala samordningen och utvecklingen av skolbiblioteken sker i delad samverkan mellan förvaltningarna.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",Solna,Stockholm,2020–2023,3
Inom ramen för samordning ryms nätverkande och utbyte av erfarenheter mellan skolbibliotekarier och införandet av bibliotekssystem som är kopplat till folkbibliotekets system.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 4}",Solna,Stockholm,2020–2023,4
Samordning mellan folk och skolbibliotek av utbud av relevanta och gemensamma databaser för eleverna kommer att ses över.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 5}",Solna,Stockholm,2020–2023,5
Folkbiblioteket erbjuder skolverksamheten läsfrämjande aktiviteter och bjuder in alla barn i förskoleklass till en biblioteksvisning och alla elever i årskurs 4 och årskurs 7 till ett bokprat.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 6}",Solna,Stockholm,2020–2023,6
Detta är ett komplement till och samarbete med skolbibliotekens pedagogiska verksamhet i skolan.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 7}",Solna,Stockholm,2020–2023,7
Det här ska skolbiblioteken och folkbiblioteken göra tillsammans  Bidra till de kommunala skolornas möjlighet att erbjuda eleverna attraktiva skolbibliotek och bidra till samverkan kring kompetensdelning med läsfrämjandefokus.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Stärka och bidra till elevernas ökade läsförståelse och läslust.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
Undersöka möjligheter till samverkan med de kommunala grundskolebiblioteken och gymnasiebiblioteket vad gäller elevernas tillgång till relevanta databaser.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Det digitala biblioteket Biblioteken i Solna ska följa den digitala utvecklingen och ge medarbetarna goda kunskaper inom it och den digitala världen.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Biblioteken ska stärka utbudet av digitala tjänster för ökad tillgänglighet och medborgarnas möjlighet att få service på goda villkor.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
"På bibliotekets webbplats ska medborgarna, under dygnets alla timmar, kunna uträtta sina ärenden och kunna ta till sig text på ett enkelt sätt.","{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Personer med funktionsvariation ska få information om tillgängliga medier via till exempel MTM (Myndigheten för Tillgängliga Medier) och därmed få tillgång till läsning och litteratur.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",Solna,Stockholm,2020–2023,3
Det digitala biblioteket ska vara möjligt för alla att ta del av och biblioteket ska arbeta aktivt för att all information på hemsidan ska vara lättläst text och även erbjuda text på andra språk än svenska.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 4}",Solna,Stockholm,2020–2023,4
Biblioteken ska stödja de människor som känner ett utanförskap i den digitala världen för att på så sätt bidra till att minska den digitala klyftan mellan människor.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 5}",Solna,Stockholm,2020–2023,5
Det här ska biblioteken göra  Utveckla ett modernt digitalt bibliotek som ger ökad tillgänglighet och service samt interaktiva tjänster via sociala medier och plattformar.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Lägga särskild vikt vid att människor med funktionsvariation får hjälp och information om digitala hjälpmedel.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
Vidareutveckla en lättförståelig information och kommunikation av bibliotekets tjänster även på andra språk än svenska.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
Det livslånga lärandet och biblioteken Folkbiblioteket fyller en viktig roll för människor i utbildning.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",Solna,Stockholm,2020–2023,0
Studieplatser är efterfrågade av studerande i alla åldrar.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",Solna,Stockholm,2020–2023,1
Biblioteken prioriterar vuxenutbildning och SFI (Svenska för invandrare) när det gäller inköp av böcker.,"{'ort': 'Solna', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",Solna,Stockholm,2020–2023,2
